AYR,ALLOY RESOURCES LIMITED|Materials
ALQ,ALS LIMITED|Commercial & Professional Services
ARS,ALT RESOURCES LIMITED|Materials
ATC,ALTECH CHEMICALS LTD|Materials
AIQ,ALTERNATIVE INVESTMENT TRUST|Not Applic
1AG,ALTERRA LIMITED|Commercial & Professional Services
ALU,ALTIUM LIMITED|Software & Services
AME,ALTO METALS LIMITED|Energy
AOH,ALTONA MINING LIMITED|Materials
AJM,ALTURA MINING LIMITED|Materials
AWC,ALUMINA LIMITED|Materials
AMA,AMA GROUP LIMITED|Retailing
ANL,AMANI GOLD LIMITED|Materials
AYS,AMAYSIM AUSTRALIA LIMITED|Telecommunication Services
AMO,AMBERTECH LIMITED|Technology Hardware & Equipment
AMB,AMBITION GROUP LIMITED|Commercial & Professional Services
AMH,AMCIL LIMITED|Diversified Financials
AMC,AMCOR LIMITED|Materials
AOW,AMERICAN PATRIOT OIL & GAS LIMITED|Energy
AXZ,AMEX RESOURCES LIMITED|Materials
AMP,AMP LIMITED|Insurance
ANQ,ANAECO LIMITED|Commercial & Professional Services
ALT,ANALYTICA LIMITED|Health Care Equipment & Services
ANR,ANATARA LIFESCIENCES LTD|Pharmaceuticals & Biotechnology & Life Sciences
AHR,ANCHOR RESOURCES LIMITED|Materials
ADN,ANDROMEDA METALS LIMITED|Materials
ATM,ANEKA TAMBANG (PERSERO) TBK (PT)|Materials
AQM,ANGLO AMERICAN CAPITAL PLC|Not Applic
AAR,ANGLO AUSTRALIAN RESOURCES NL|Materials
AGG,ANGLOGOLD ASHANTI LIMITED|Materials
AB1,ANIMOCA BRANDS CORPORATION LIMITED|Software & Services
AWV,ANOVA METALS LIMITED|Materials
ANN,ANSELL LIMITED|Health Care Equipment & Services
ASN,ANSON RESOURCES LIMITED|Materials
AZZ,ANTARES ENERGY LIMITED|Energy
ATT,ANTE REAL ESTATE TRUST|Real Estate
ADO,ANTEO DIAGNOSTICS LIMITED|Pharmaceuticals & Biotechnology & Life Sciences
AVD,ANTILLES OIL AND GAS NL|Energy
AZY,ANTIPA MINERALS LIMITED|Materials
APL,ANTIPODES GLOBAL INVESTMENT COMPANY LTD|Not Applic
ANP,ANTISENSE THERAPEUTICS LIMITED|Pharmaceuticals & Biotechnology & Life Sciences
APE,AP EAGERS LIMITED|Retailing
APA,APA GROUP|Utilities
AAL,APAC COAL LIMITED|Energy
AQQ,APHRODITE GOLD LIMITED|Materials
AHX,APIAM ANIMAL HEALTH LIMITED|Retailing
APN,APN NEWS & MEDIA LIMITED|Media
APO,APN OUTDOOR GROUP LIMITED|Media
APD,APN PROPERTY GROUP LIMITED|Diversified Financials
AOP,APOLLO CONSOLIDATED LIMITED|Materials
AON,APOLLO MINERALS LIMITED|Materials
AOJ,APOLLO SERIES 2010-1 TRUST|Not Applic
AOR,APOLLO SERIES 2013-1 TRUST|Not Applic
AOL,APOLLO SERIES 2015-1 TRUST|Not Applic
ATL,APOLLO TOURISM & LEISURE LTD|Automobiles & Components
APX,APPEN LIMITED|Software & Services
AD1,APPLYDIRECT LIMITED|Software & Services
AQH,APT PIPELINES LIMITED.|Not Applic
AQU,AQUAINT CAPITAL HOLDINGS LIMITED|Consumer Services
AQS,AQUIS ENTERTAINMENT LIMITED|Consumer Services
ARU,ARAFURA RESOURCES LIMITED|Materials
ARB,ARB CORPORATION LIMITED.|Automobiles & Components
ARX,ARC EXPLORATION LIMITED|Materials
AXE,ARCHER EXPLORATION LIMITED|Materials
ARL,ARDEA RESOURCES LIMITED|Materials
AAD,ARDENT LEISURE GROUP|Consumer Services
ADV,ARDIDEN LTD|Materials
ARF,ARENA REIT.|Real Estate
ARD,ARGENT MINERALS LIMITED|Materials
AXT,ARGO EXPLORATION LIMITED|Materials
ALI,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED|Diversified Financials
ARG,ARGO INVESTMENTS LIMITED|Not Applic
ARE,ARGONAUT RESOURCES NL|Materials
AGY,ARGOSY MINERALS LIMITED|Materials
ARA,ARIADNE AUSTRALIA LIMITED|Commercial & Professional Services
ALL,ARISTOCRAT LEISURE LIMITED|Consumer Services
AHK,ARK MINES LIMITED|Materials
AJQ,ARMOUR ENERGY LIMITED|Energy
AWQ,AROWANA AUSTRALASIAN VALUE OPPORTUNITIES FUND LIMITED|Not Applic
AWN,AROWANA INTERNATIONAL LIMITED|Capital Goods
ARI,ARRIUM LIMITED|Materials
AR1,ARROWHEAD RESOURCES LIMITED|Materials
ARV,ARTEMIS RESOURCES LIMITED|Materials
AAJ,ARUMA RESOURCES LIMITED|Materials
AHY,ASALEO CARE LIMITED|Household & Personal Products
AJY,ASAPLUS RESOURCES LIMITED|Materials
AFA,ASF GROUP LIMITED|Diversified Financials
ASH,ASHLEY SERVICES GROUP LIMITED|Commercial & Professional Services
AJD,ASIA PACIFIC DATA CENTRE GROUP|Real Estate
DIG,ASIA PACIFIC DIGITAL LIMITED|Media
AJJ,ASIAN AMERICAN MEDICAL GROUP LIMITED|Health Care Equipment & Services
ATB,ASIAN DEVELOPMENT BANK|Not Applic
AUF,ASIAN MASTERS FUND LIMITED|Diversified Financials
AM3,ASIAN MINERAL RESOURCES LIMITED|Class Pend
AKF,ASK FUNDING LIMITED|Diversified Financials
APZ,ASPEN GROUP|Real Estate
ASP,ASPERMONT LIMITED.|Media
AKM,ASPIRE MINING LIMITED|Materials
ASY,ASSEMBLEBAY LIMITED|Software & Services
AO1,ASSETOWL LIMITED|Software & Services
AIR,ASTIVITA LIMITED|Capital Goods
AJA,ASTRO JAPAN PROPERTY GROUP|Real Estate
ARO,ASTRO RESOURCES NL|Materials
ATR,ASTRON CORPORATION LIMITED|Materials
ASX,ASX LIMITED|Diversified Financials
ATA,ATC ALLOYS LTD|Materials
ACG,ATCOR MEDICAL HOLDINGS LIMITED|Health Care Equipment & Services
AHN,ATHENA RESOURCES LIMITED|Materials
AGO,ATLAS IRON LIMITED|Materials
ATP,ATLAS PEARLS AND PERFUMES LTD|Consumer Durables & Apparel
ATU,ATRUM COAL LIMITED|Materials
AYA,ATTILA RESOURCES LIMITED|Materials
AUB,AUB GROUP LIMITED|Insurance
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED|Transportation
ACP,AUDALIA RESOURCES LIMITED|Materials
AKP,AUDIO PIXELS HOLDINGS LIMITED|Consumer Durables & Apparel
AUG,AUGEND LTD|Energy
AUK,AUGUR RESOURCES LIMITED|Materials
AEE,AURA ENERGY LIMITED|Energy
AMI,AURELIA METALS LIMITED|Materials
AZJ,AURIZON HOLDINGS LIMITED|Transportation
AOU,AUROCH MINERALS LTD|Materials
ABW,AURORA ABSOLUTE RETURN FUND|Not Applic
AOD,AURORA DIVIDEND INCOME TRUST (MANAGED FUND)|Not Applic
AIB,AURORA GLOBAL INCOME TRUST|Diversified Financials
A3D,AURORA LABS LIMITED|Capital Goods
ARM,AURORA MINERALS LIMITED|Materials
AUP,AURORA PROPERTY BUY-WRITE INCOME TRUST|Not Applic
AQJ,AUS ASIA MINERALS LIMITED|Energy
ANW,AUS TIN MINING LTD|Materials
AC8,AUSCANN GROUP HOLDINGS LTD|Pharmaceuticals & Biotechnology & Life Sciences
ASL,AUSDRILL LIMITED|Materials
AUC,AUSGOLD LIMITED|Materials
AOA,AUSMON RESOURCES LIMITED|Materials
AU1,AUSNET FINANCIAL SERVICES LIMITED|Real Estate
ANV,AUSNET SERVICES HOLDINGS PTY LTD|Not Applic
AST,AUSNET SERVICES LIMITED|Utilities
AQD,AUSQUEST LIMITED|Materials
ARK,AUSROC METALS LTD|Materials
ASB,AUSTAL LIMITED|Capital Goods
AOK,AUSTEX OIL LIMITED|Energy
ANG,AUSTIN ENGINEERING LIMITED|Capital Goods
AKK,AUSTIN EXPLORATION LIMITED|Energy
ACK,AUSTOCK GROUP LIMITED|Insurance
APG,AUSTPAC RESOURCES NL|Materials
AGD,AUSTRAL GOLD LIMITED|Materials
ARH,AUSTRALASIAN RESOURCES LIMITED|Materials
ANZ,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED|Banks
AYM,AUSTRALIA UNITED MINING LIMITED|Materials
AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.|Food & Beverage & Tobacco
AAP,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED|Food & Beverage & Tobacco
ABX,AUSTRALIAN BAUXITE LIMITED.|Materials
ACO,AUSTRALIAN CAREERS NETWORK LIMITED|Consumer Services
XCL,AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS|Not Applic
AHF,AUSTRALIAN DAIRY FARMS GROUP|Food & Beverage & Tobacco
AYF,AUSTRALIAN ENHANCED INCOME FUND|Not Applic
AEF,AUSTRALIAN ETHICAL INVESTMENT LIMITED|Diversified Financials
AFG,AUSTRALIAN FINANCE GROUP LTD|Banks
AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED|Not Applic
AQF,AUSTRALIAN GOVERNANCE MASTERS INDEX FUND LIMITED|Diversified Financials
GSB,AUSTRALIAN GOVERNMENT TREASURY BONDS|Not Applic
GSI,AUSTRALIAN GOVERNMENT TREASURY INDEXED BONDS|Not Applic
ALF,AUSTRALIAN LEADERS FUND LIMITED|Diversified Financials
AYD,AUSTRALIAN MASTERS YIELD FUND NO 1 LIMITED|Not Applic
AYH,AUSTRALIAN MASTERS YIELD FUND NO 2 LIMITED|Not Applic
AYJ,AUSTRALIAN MASTERS YIELD FUND NO 3 LIMITED|Not Applic
AYK,AUSTRALIAN MASTERS YIELD FUND NO 4 LIMITED|Not Applic
AYZ,AUSTRALIAN MASTERS YIELD FUND NO 5 LIMITED|Not Applic
AUZ,AUSTRALIAN MINES LIMITED|Materials
AQC,AUSTRALIAN PACIFIC COAL LIMITED|Materials
API,AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED|Health Care Equipment & Services
APC,AUSTRALIAN POTASH LIMITED|Materials
ARC,AUSTRALIAN RURAL CAPITAL LIMITED|Diversified Financials
AUI,AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED|Diversified Financials
AYU,AUSTRALIAN UNITY LIMITED|Not Applic
AOF,AUSTRALIAN UNITY OFFICE FUND|Real Estate
AVL,AUSTRALIAN VANADIUM LIMITED|Materials
AVG,AUSTRALIAN VINTAGE LTD|Food & Beverage & Tobacco
AWY,AUSTRALIAN WHISKY HOLDINGS LIMITED|Food & Beverage & Tobacco
ATS,AUSTRALIS OIL & GAS LIMITED|Energy
ANS,AUSTSINO RESOURCES GROUP LIMITED|Materials
ABA,AUSWIDE BANK LTD|Banks
AIY,AUTHORISED INVESTMENT FUND LIMITED|Not Applic
AHG,AUTOMOTIVE HOLDINGS GROUP LIMITED.|Retailing
4WD,AUTOMOTIVE SOLUTIONS GROUP LTD|Automobiles & Components
ASG,AUTOSPORTS GROUP LIMITED.|Retailing
AVI,AVALON MINERALS LIMITED|Materials
AVB,AVANCO RESOURCES LIMITED|Materials
AEV,AVENIRA LIMITED|Materials
AVN,AVENTUS RETAIL PROPERTY FUND|Real Estate
AOG,AVEO GROUP|Real Estate
AVW,AVIRA ENERGY LIMITED|Materials
AVH,AVITA MEDICAL LTD|Pharmaceuticals & Biotechnology & Life Sciences
AVJ,AVJENNINGS LIMITED|Real Estate
AVZ,AVZ MINERALS LIMITED|Materials
AWE,AWE LIMITED|Energy
AXJ,AXA|Not Applic
AVQ,AXIOM MINING LIMITED|Materials
AXI,AXIOM PROPERTIES LIMITED|Real Estate
AXL,AXSESSTODAY LIMITED|Diversified Financials
AYG,AXXIS TECHNOLOGY GROUP LTD|Software & Services
APY,AZONTO PETROLEUM LTD|Energy
AZM,AZUMAH RESOURCES LIMITED|Materials
AZV,AZURE HEALTHCARE LIMITED|Health Care Equipment & Services
AZS,AZURE MINERALS LIMITED|Materials
BBN,BABY BUNTING GROUP LIMITED|Retailing
BTI,BAILADOR TECHNOLOGY INVESTMENTS LIMITED|Diversified Financials
BOQ,BANK OF QUEENSLAND LIMITED.|Banks
BMN,BANNERMAN RESOURCES LIMITED|Energy
BAP,BAPCOR LIMITED|Retailing
BKP,BARAKA ENERGY & RESOURCES LIMITED|Energy
BCL,BARALABA COAL COMPANY LIMITED|Energy
BD1,BARD1 LIFE SCIENCES LIMITED|Materials
BAR,BARRA RESOURCES LIMITED|Materials
BST,BARRACK ST INVESTMENTS LIMITED|Not Applic
BSE,BASE RESOURCES LIMITED|Materials
BSM,BASS METALS LTD|Materials
BAS,BASS OIL LIMITED|Energy
BSR,BASSARI RESOURCES LIMITED|Materials
BRL,BATHURST RESOURCES LIMITED.|Materials
BAT,BATTERY MINERALS LIMITED|Materials
BMH,BAUMART HOLDINGS LIMITED|Capital Goods
BAU,BAUXITE RESOURCES LIMITED|Materials
BBX,BBX MINERALS LIMITED|Materials
BCI,BC IRON LIMITED|Materials
BCD,BCD RESOURCES NL|Materials
BPT,BEACH ENERGY LIMITED|Energy
BLX,BEACON LIGHTING GROUP LIMITED|Retailing
BCN,BEACON MINERALS LIMITED|Materials
BDR,BEADELL RESOURCES LIMITED|Materials
BGA,BEGA CHEESE LIMITED|Food & Beverage & Tobacco
BFG,BELL FINANCIAL GROUP LIMITED|Diversified Financials
BAL,BELLAMY'S AUSTRALIA LIMITED|Food & Beverage & Tobacco
BEN,BENDIGO AND ADELAIDE BANK LIMITED|Banks
BLT,BENITEC BIOPHARMA LIMITED|Pharmaceuticals & Biotechnology & Life Sciences
BHD,BENJAMIN HORNIGOLD LIMITED|Class Pend
BEL,BENTLEY CAPITAL LIMITED|Diversified Financials
BKY,BERKELEY ENERGIA LIMITED|Energy
BMT,BERKUT MINERALS LIMITED|Materials
BFC,BESTON GLOBAL FOOD COMPANY LIMITED|Diversified Financials
BYI,BEYOND INTERNATIONAL LIMITED|Media
BHP,BHP BILLITON LIMITED|Materials
BID,BIDENERGY LIMITED|Software & Services
BRI,BIG RIVER INDUSTRIES LIMITED|Class Pend
BIG,BIG UN LIMITED|Software & Services
BTH,BIGTINCAN HOLDINGS LIMITED|Software & Services
BBG,BILLABONG INTERNATIONAL LIMITED|Consumer Durables & Apparel
BIN,BINGO INDUSTRIES LIMITED|Class Pend
BNO,BIONOMICS LIMITED|Pharmaceuticals & Biotechnology & Life Sciences
BTC,BIOTECH CAPITAL LIMITED|Diversified Financials
BIT,BIOTRON LIMITED|Pharmaceuticals & Biotechnology & Life Sciences
BXN,BIOXYNE LIMITED|Pharmaceuticals & Biotechnology & Life Sciences
BOP,BIRCH AND PRESTIGE INVESTMENT GROUP LIMITED|Retailing
BGS,BIRIMIAN LIMITED|Materials
BIS,BISALLOY STEEL GROUP LIMITED|Materials
BSN,BISAN LIMITED|Diversified Financials
BKI,BKI INVESTMENT COMPANY LIMITED|Diversified Financials
BKM,BKM MANAGEMENT LIMITED|Commercial & Professional Services
BMZ,BLACK MOUNTAIN RESOURCES LIMITED|Materials
BKT,BLACK ROCK MINING LIMITED|Materials
BSP,BLACK STAR PETROLEUM LIMITED|Energy
BGG,BLACKGOLD INTERNATIONAL HOLDINGS LIMITED|Energy
BLK,BLACKHAM RESOURCES LIMITED|Materials
BKL,BLACKMORES LIMITED|Household & Personal Products
BSX,BLACKSTONE MINERALS LIMITED|Materials
BWF,BLACKWALL LIMITED|Diversified Financials
BWR,BLACKWALL PROPERTY TRUST|Real Estate
BLZ,BLAZE INTERNATIONAL LIMITED|Energy
BGH,BLIGH RESOURCES LIMITED|Materials
BDI,BLINA MINERALS NL|Materials
BUL,BLUE ENERGY LIMITED|Energy
BLA,BLUE SKY ALTERNATIVE INVESTMENTS LIMITED|Diversified Financials
BAF,BLUE SKY ALTERNATIVES ACCESS FUND LIMITED|Not Applic
BCT,BLUECHIIP LIMITED|Technology Hardware & Equipment
BSL,BLUESCOPE STEEL LIMITED|Materials
BLG,BLUGLASS LIMITED|Semiconductors & Semiconductor Equipment
BMG,BMG RESOURCES LIMITED|Materials
BOA,BOADICEA RESOURCES LIMITED|Materials
BLY,BOART LONGYEAR LIMITED|Capital Goods
BDA,BOD AUSTRALIA LIMITED|Retailing
BOL,BOOM LOGISTICS LIMITED|Capital Goods
BBR,BORA BORA RESOURCES LIMITED|Materials
BLD,BORAL LIMITED.|Materials
BOE,BOSS RESOURCES LIMITED|Materials
BOT,BOTANIX PHARMACEUTICALS LTD|Pharmaceuticals & Biotechnology & Life Sciences
BML,BOTSWANA METALS LIMITED|Materials
BOC,BOUGAINVILLE COPPER LIMITED|Materials
BUY,BOUNTY OIL & GAS NL|Energy
BHL,BOYUAN HOLDINGS LIMITED|Real Estate
BPB,BP CAPITAL MARKETS PLC|Not Applic
BPH,BPH ENERGY LTD|Pharmaceuticals & Biotechnology & Life Sciences
BPS,BPS TECHNOLOGY LIMITED|Software & Services
BKN,BRADKEN LIMITED|Capital Goods
BRC,BRAIN RESOURCE LIMITED|Health Care Equipment & Services
BRN,BRAINCHIP HOLDINGS LTD|Software & Services
BXB,BRAMBLES LIMITED|Commercial & Professional Services
BVS,BRAVURA SOLUTIONS LIMITED.|Software & Services
BRB,BREAKER RESOURCES NL|Materials
BRG,BREVILLE GROUP LIMITED|Retailing
BKW,BRICKWORKS LIMITED|Materials
BYL,BRIERTY LIMITED|Capital Goods
BTN,BRIGHTON MINING GROUP LIMITED|Materials
BBL,BRISBANE BRONCOS LIMITED|Media
BRO,BROAD INVESTMENTS LIMITED|Telecommunication Services
BCK,BROCKMAN MINING LIMITED|Materials
BPL,BROKEN HILL PROSPECTING LIMITED|Materials
BGR,BRONSON GROUP LIMITED|Diversified Financials
BEE,BROO LTD|Food & Beverage & Tobacco
BPA,BROOKFIELD PRIME PROPERTY FUND|Real Estate
BRK,BROOKSIDE ENERGY LIMITED|Energy
BSA,BSA LIMITED|Commercial & Professional Services
BTT,BT INVESTMENT MANAGEMENT LIMITED|Diversified Financials
BUB,BUBS AUSTRALIA LIMITED|Food & Beverage & Tobacco
BUD,BUDDY PLATFORM LTD|Software & Services
BUG,BUDERIM GROUP LIMITED|Food & Beverage & Tobacco
INC,BUILDINGIQ|BIQ
BNR,BULLETIN RESOURCES LIMITED|Materials
BPF,BULLETPROOF GROUP LIMITED|Software & Services
BUA,BURRABULLA CORPORATION LIMITED|Materials
BRU,BURU ENERGY LIMITED|Energy
BUX,BUXTON RESOURCES LIMITED|Materials
BMP,BUYMYPLACE.COM.AU LIMITED|Real Estate
BWP,BWP TRUST|Real Estate
BWX,BWX LIMITED|Household & Personal Products
BYE,BYRON ENERGY LIMITED|Energy
BPG,BYTE POWER GROUP LIMITED|Retailing
CAB,CABCHARGE AUSTRALIA LIMITED|Commercial & Professional Services
CBS,CABRAL RESOURCES LIMITED|Materials
CDM,CADENCE CAPITAL LIMITED|Not Applic
CAD,CAENEUS MINERALS LTD|Materials
DXA,CAISSE FRANCAISE DE FINANCEMENT LOCAL|Not Applic
CTX,CALTEX AUSTRALIA LIMITED|Energy
CAN,CANN GROUP LIMITED|Class Pend
CAE,CANNINDAH RESOURCES LIMITED|Materials
CAY,CANYON RESOURCES LIMITED|Materials
CFE,CAPE LAMBERT RESOURCES LIMITED|Materials
CZZ,CAPILANO HONEY LIMITED|Food & Beverage & Tobacco
CMY,CAPITAL MINING LIMITED|Materials
CAJ,CAPITOL HEALTH LIMITED|Health Care Equipment & Services
CAA,CAPRAL LIMITED|Materials
CMM,CAPRICORN METALS LTD|Materials
CAQ,CAQ HOLDINGS LIMITED|Real Estate
CVV,CARAVEL MINERALS LIMITED|Materials
CRB,CARBINE RESOURCES LIMITED|Materials
CNQ,CARBINE TUNGSTEN LIMITED|Materials
CNX,CARBON ENERGY LIMITED|Energy
CRM,CARBON MINERALS LIMITED|Energy
CDV,CARDINAL RESOURCES LIMITED|Materials
CDD,CARDNO LIMITED|Capital Goods
CDP,CARINDALE PROPERTY TRUST|Real Estate
CIN,CARLTON INVESTMENTS LIMITED|Diversified Financials
CVN,CARNARVON PETROLEUM LIMITED|Energy
CAV,CARNAVALE RESOURCES LIMITED|Materials
CCE,CARNEGIE CLEAN ENERGY LIMITED|Utilities
CAP,CARPENTARIA EXPLORATION LIMITED|Materials
CAR,CARSALES.COM LIMITED.|Software & Services
CCV,CASH CONVERTERS INTERNATIONAL|Retailing
CZI,CASSINI RESOURCES LIMITED|Materials
CCZ,CASTILLO COPPER LIMITED|Materials
CDT,CASTLE MINERALS LIMITED|Materials
CYL,CATALYST METALS LIMITED|Materials
CAT,CATAPULT GROUP INTERNATIONAL LTD|Technology Hardware & Equipment
CXU,CAULDRON ENERGY LIMITED|Energy
CAZ,CAZALY RESOURCES LIMITED|Materials
CBC,CBG CAPITAL LIMITED|Not Applic
CBL,CBL CORPORATION LIMITED|Insurance
CT1,CCP TECHNOLOGIES LIMITED|Technology Hardware & Equipment
CWP,CEDAR WOODS PROPERTIES LIMITED|Real Estate
CNL,CELAMIN HOLDINGS NL|Materials
CDY,CELLMID LIMITED|Pharmaceuticals & Biotechnology & Life Sciences
CLT,CELLNET GROUP LIMITED|Technology Hardware & Equipment
CLA,CELSIUS RESOURCES LIMITED|Materials
CTM,CENTAURUS METALS LIMITED|Materials
CTL,CENTENNIAL MINING LIMITED|Materials
CVR,CENTRAL ASIA RESOURCES LIMITED.|Materials
CTP,CENTRAL PETROLEUM LIMITED|Energy
CAF,CENTREPOINT ALLIANCE LIMITED|Diversified Financials
CXM,CENTREX METALS LIMITED|Materials
CNI,CENTURIA CAPITAL GROUP|Diversified Financials
CIP,CENTURIA INDUSTRIAL REIT|Real Estate
CMA,CENTURIA METROPOLITAN REIT|Real Estate
CUA,CENTURIA URBAN REIT|Real Estate
CYA,CENTURY AUSTRALIA INVESTMENTS LIMITED|Diversified Financials
CFU,CERAMIC FUEL CELLS LIMITED|Capital Goods
CVS,CERVANTES CORPORATION LIMITED|Materials
CFO,CFOAM LIMITED|Capital Goods
CHN,CHALICE GOLD MINES LIMITED|Materials
CEL,CHALLENGER ENERGY LIMITED|Energy
CGF,CHALLENGER LIMITED|Diversified Financials
CHJ,CHALLENGER MILLENNIUM SERIES 2007-1E TRUST|Not Applic
CHU,CHALLENGER MILLENNIUM SERIES 2007-2L TRUST|Not Applic
CHR,CHALMERS LIMITED|Transportation
CIA,CHAMPION IRON LIMITED|Materials
CHP,CHAPMANS LIMITED|Diversified Financials
CHC,CHARTER HALL GROUP|Real Estate
CLW,CHARTER HALL LONG WALE REIT|Real Estate
CQR,CHARTER HALL RETAIL REIT|Real Estate
CHF,CHARTER PACIFIC CORPORATION LIMITED|Diversified Financials
CHZ,CHESSER RESOURCES LIMITED|Materials
CCA,CHIMPCHANGE LIMITED|Software & Services
CCB,CHINA CONSTRUCTION BANK CORPORATION|Not Applic
CDC,CHINA DAIRY CORPORATION LIMITED|Food & Beverage & Tobacco
CMC,CHINA MAGNESIUM CORPORATION LIMITED|Materials
CYU,CHINALCO YUNNAN COPPER RESOURCES LTD|Materials
CDH,CHONGHERR INVESTMENTS LTD|Materials
CNU,CHORUS LIMITED|Telecommunication Services
CII,CI RESOURCES LIMITED|Materials
CIM,CIMIC GROUP LIMITED|Capital Goods
